"Accident_Id";"jour";"mois";"an";"hrmn";"lum";"dep";"com";"agg";"int";"atm";"col";"adr";"lat";"long"
"202200000056";"20";"10";"2022";"20:00";"5";"92";"92051";"2";"1";"2";"7";"CHARLES DE GAULLE (AVENUE, N°27 A 129)";"48,8787400000";"2,2786600000"
"202200000057";"21";"10";"2022";"20:45";"5";"92";"92020";"2";"1";"1";"2";"VERDUN AVENUE DE AUTRES N°";"48,7996100000";"2,2818300000"
"202200000058";"21";"10";"2022";"20:00";"5";"92";"92048";"2";"1";"1";"2";"JEAN JAURES (AVENUE) N° 8 A 72";"48,8128800000";"2,2462000000"
"202200000059";"21";"10";"2022";"09:00";"1";"92";"92024";"2";"9";"2";"3";"ANCIENNNE MAIRIE (RUE DE L')";"48,9036646539";"2,3030495346"
"202200000060";"21";"10";"2022";"09:26";"1";"92";"92060";"2";"1";"2";"3";"ARTHUR RANC (RUE)";"48,7844900000";"2,2748800000"
"202200000061";"21";"10";"2022";"08:30";"1";"92";"92060";"2";"1";"2";"6";"CHARLES DE GAULLE (AVENUE) RD75 N°1 A 35";"48,7806300000";"2,2630400000"
"202200000062";"21";"10";"2022";"14:40";"1";"92";"92012";"2";"1";"1";"3";"THIERS (RUE) 1/65";"48,8371210000";"2,2483650000"
"202200000063";"21";"10";"2022";"20:23";"5";"92";"92007";"2";"7";"1";"3";"RAVERA (AVENUE HENRI) N° 111 A 217 ET 10";"48,8019115375";"2,3106474280"
"202200000064";"21";"10";"2022";"20:00";"5";"92";"92002";"2";"1";"9";"3";"ADOLPHE PAJEAUD (RUE)";"48,7430900000";"2,2877800000"
"202200000065";"22";"10";"2022";"05:40";"3";"76";"76621";"1";"1";"1";"6";"autoroute A28";"49,6431298707";"1,2667151729"
"202200000066";"20";"10";"2022";"17:40";"2";"68";"68178";"2";"1";"2";"7";"30 Rue du Felsenbach";"47,9349260000";"7,1194410000"
"202200000067";"21";"10";"2022";"19:00";"5";"972";"97225";"2";"1";"1";"6";"Rue Bouille";"14,7437370000";" -61,1762680000"
"202200000068";"3";"10";"2022";"17:12";"1";"63";"63001";"2";"1";"1";"6";"4 Place de la Halle";"46,0205690000";"3,2010610000"
"202200000069";"21";"10";"2022";"19:10";"3";"22";"22213";"1";"1";"8";"2";"N176";"48,5364820000";" -1,9770560000"
"202200000070";"21";"10";"2022";"14:47";"1";"76";"76417";"1";"1";"1";"1";"A28, PK 66.800";"49,6888370000";"1,3520320000"
"202200000071";"21";"10";"2022";"15:30";"1";"62";"62610";"1";"1";"1";"7";"D113";"50,4679670000";"1,7957070000"
"202200000072";"22";"10";"2022";"09:15";"1";"51";"51571";"1";"1";"1";"1";"D934";"49,1540190000";"4,2083750000"
"202200000073";"18";"10";"2022";"02:20";"3";"51";"51323";"1";"1";"2";"3";"N4";"48,7216600000";"3,7876220000"
"202200000074";"22";"10";"2022";"02:30";"3";"51";"51372";"1";"6";"1";"7";"N44";"48,9105060000";"4,4309230000"
"202200000075";"20";"10";"2022";"11:05";"1";"2B";"2B261";"1";"1";"1";"3";"mortino";"42,9637470000";"9,4242330000"
"202200000076";"21";"10";"2022";"14:30";"1";"65";"65125";"1";"1";"1";"2";"ROUTE DÉPAREMENTALE 817";"43,1153507439";"0,3653141856"
"202200000077";"22";"10";"2022";"05:20";"3";"33";"33314";"1";"3";"1";"3";"Intersection D 206 et D 104 E3";"45,1866650000";" -0,7671980000"
"202200000078";"21";"10";"2022";"18:45";"3";"71";"71143";"1";"1";"3";"7";"Route de Saint-sulpice";"46,4532300000";"5,3108650000"
"202200000079";"21";"10";"2022";"18:10";"3";"71";"71428";"2";"3";"3";"1";"RD83 - Les Alouettes";"46,1953910000";"4,2970810000"
"202200000080";"22";"10";"2022";"10:10";"1";"71";"71237";"1";"2";"5";"3";"D681";"47,0502810000";"4,3467070000"
"202200000081";"21";"10";"2022";"20:50";"5";"71";"71543";"2";"1";"3";"6";"Avenue de la Résistance";"46,5654850000";"4,9036040000"
"202200000082";"21";"10";"2022";"14:50";"1";"89";"89039";"1";"1";"1";"1";"N/A";"47,8170240000";"3,8992600000"
"202200000083";"21";"10";"2022";"17:50";"2";"63";"63430";"1";"3";"2";"3";"D201";"45,8665470000";"3,5659700000"
"202200000084";"21";"10";"2022";"16:45";"1";"63";"63297";"1";"1";"1";"6";"D212";"45,7527020000";"3,3648310000"
"202200000085";"22";"10";"2022";"16:00";"1";"61";"61029";"1";"1";"1";"7";"Courthioust";"48,5441070000";"0,4924430000"
"202200000086";"22";"10";"2022";"02:15";"3";"22";"22220";"1";"1";"2";"6";"Kerpierre";"48,2583790000";" -3,2235620000"
"202200000087";"18";"10";"2022";"11:03";"1";"29";"29075";"2";"6";"1";"3";"Rond Point de la Vallée";"48,4312260000";" -4,4026580000"
"202200000088";"22";"10";"2022";"18:14";"1";"38";"38261";"1";"1";"1";"6";"Route de Bachelin";"45,6782480000";"5,4493740000"
"202200000089";"21";"10";"2022";"20:48";"3";"02";"02226";"1";"1";"1";"7";"D173";"49,3365570000";"3,3015930000"
"202200000090";"21";"10";"2022";"16:50";"1";"26";"26248";"1";"1";"8";"6";"D93";"44,7366280000";"5,2661630000"
"202200000091";"21";"10";"2022";"13:40";"1";"14";"14231";"1";"1";"1";"1";"D287";"49,2166300000";"0,0098380000"
"202200000092";"12";"10";"2022";"10:45";"1";"09";"09173";"1";"1";"1";"2";"route de crampagna";"43,0363570000";"1,5407970000"
"202200000093";"22";"10";"2022";"09:25";"1";"60";"60086";"1";"9";"1";"6";"D603";"49,1766540000";"2,3531560000"
"202200000094";"28";"09";"2022";"18:18";"1";"45";"45258";"2";"1";"2";"7";"19 Route de Briarres";"48,2125820000";"2,4580700000"
"202200000095";"22";"10";"2022";"11:00";"1";"73";"73303";"2";"3";"1";"3";"D1508";"45,7513020000";"6,4064350000"
"202200000096";"19";"10";"2022";"01:00";"4";"16";"16397";"1";"1";"1";"6";"Guignefolle";"45,8872210000";" -0,0758020000"
"202200000097";"21";"10";"2022";"15:55";"1";"53";"53112";"1";"2";"1";"4";"RN12";"48,3978973804";" -0,3763012008"
"202200000098";"14";"09";"2022";"16:30";"1";"24";"24237";"1";"3";"1";"2";"Chemin de Creysse";"44,8877160000";"0,5492360000"
"202200000099";"22";"10";"2022";"11:15";"1";"27";"27117";"2";"1";"1";"6";"5 rue des canadiens";"49,0087060000";"0,5290250000"
"202200000100";"21";"10";"2022";"18:00";"1";"17";"17093";"2";"3";"1";"3";"Avenue d'Antioche";"45,8907400000";" -1,2204910000"
"202200000101";"22";"10";"2022";"05:00";"3";"48";"48157";"1";"1";"8";"6";"D901";"44,5215710000";"3,6125280000"
"202200000102";"21";"10";"2022";"20:45";"3";"973";"97307";"1";"1";"1";"2";"RN1 VOIE RAPIDE";"4,8953090000";" -52,3298120000"
"202200000103";"21";"10";"2022";"20:25";"5";"77";"77521";"2";"1";"1";"1";"D406";"48,8612420000";"2,8655430000"
"202200000104";"21";"10";"2022";"16:00";"1";"67";"67287";"1";"1";"1";"2";"Autoroute A4";"48,7695300000";"7,5224800000"
"202200000105";"21";"10";"2022";"15:50";"1";"33";"33095";"1";"1";"1";"6";"A65PK 022.700 sens Pau Langon";"44,3172160000";" -0,2293400000"
"202200000106";"21";"10";"2022";"19:35";"3";"71";"71428";"1";"1";"3";"3";"Arfeuille (Arrêt de bus)";"46,2004260000";"4,3078640000"
"202200000107";"22";"10";"2022";"09:45";"1";"988";"98817";"2";"1";"1";"6";"Route de la fontaine";" -22,2662620000";"166,6144950000"
"202200000108";"21";"10";"2022";"22:45";"3";"45";"45244";"1";"1";"1";"2";"D952 PR 23 + 650";"47,7646010718";"2,4916333508"
"202200000109";"21";"10";"2022";"16:35";"1";"77";"77229";"1";"1";"1";"1";"Route nationale 36";"48,7552089048";"2,8588062388"
"202200000110";"21";"10";"2022";"18:29";"2";"13";"13085";"2";"1";"8";"7";"D559a";"43,2660980994";"5,5862754381"
"202200000111";"18";"10";"2022";"16:55";"1";"13";"13042";"1";"1";"1";"3";"D2";"43,3158030000";"5,6656620000"
"202200000112";"22";"10";"2022";"13:35";"1";"08";"08081";"1";"1";"1";"1";"route départementale 1";"49,8693940000";"4,7420280000"
"202200000113";"21";"10";"2022";"20:20";"3";"68";"68036";"1";"1";"3";"6";"route departementale 468";"48,0511340000";"7,5370130000"
"202200000114";"22";"10";"2022";"16:10";"1";"67";"67282";"2";"6";"1";"6";"Rue d Austrasie";"48,6265620000";"7,5046440000"
"202200000115";"22";"10";"2022";"15:05";"1";"67";"67268";"1";"2";"7";"1";"Rue de Lyon";"48,4903840000";"7,6755970000"
"202200000116";"22";"10";"2022";"12:25";"1";"03";"03102";"1";"1";"1";"1";"RD15";"46,5530340000";"3,6922510000"
"202200000117";"22";"10";"2022";"11:15";"1";"65";"65123";"1";"1";"1";"6";"RD 918 - PR 052.000";"42,9365220000";"0,2088900000"
"202200000118";"22";"10";"2022";"13:30";"1";"17";"17307";"1";"1";"1";"6";"171 Route de Rochefort";"45,7043210000";" -0,9248260000"
"202200000119";"11";"10";"2022";"16:00";"1";"33";"33238";"2";"1";"3";"3";"19 Avenue de la Brède";"44,7244980000";" -0,5950160000"
"202200000120";"10";"09";"2022";"16:00";"1";"56";"56262";"2";"1";"1";"3";"Rue du General de Gaulle";"47,6382310000";" -2,9528660000"
"202200000121";"21";"10";"2022";"15:50";"1";"60";"60533";"2";"1";"1";"6";"14 Rue Georges Latapie";"49,5410810000";"2,7454340000"
"202200000122";"22";"10";"2022";"17:25";"1";"02";"02163";"1";"1";"1";"2";"N/A";"48,9721000000";"3,2805820000"
"202200000123";"21";"10";"2022";"11:54";"1";"13";"13071";"1";"1";"1";"5";"A7-Sens Marseille vers Lyon";"43,4165772776";"5,2761912345"
"202200000124";"20";"10";"2022";"18:45";"3";"69";"69029";"1";"1";"1";"5";"Boulevard Laurent Bonnevay";"45,7396600000";"4,9047800000"
"202200000125";"20";"10";"2022";"07:00";"3";"69";"69276";"1";"1";"3";"2";"Autoroute 7 ";"45,6724209559";"4,8474758863"
"202200000126";"21";"10";"2022";"14:20";"1";"33";"33249";"1";"1";"1";"4";"ROUTE NATIONALE 230";"44,8703800000";" -0,5054400000"
"202200000127";"21";"10";"2022";"15:45";"1";"33";"33167";"1";"1";"1";"7";"ROUTE NATIONALE 230";"44,8441100000";" -0,5028200000"
"202200000128";"20";"10";"2022";"09:00";"1";"33";"33119";"1";"1";"1";"2";"ROUTE NATIONALE 230";"44,8636610000";" -0,5039290000"
"202200000129";"21";"10";"2022";"12:15";"1";"91";"91692";"1";"1";"1";"7";"RN 118";"48,6692800000";"2,1943400000"
"202200000130";"21";"10";"2022";"13:13";"1";"91";"91521";"1";"1";"1";"5";"AUTOROUTE A6";"48,6362800000";"2,4000500000"
"202200000131";"21";"10";"2022";"11:35";"1";"91";"91434";"1";"1";"1";"4";"AUTOROUTE A6";"48,6681500000";"2,3548000000"
"202200000132";"21";"10";"2022";"13:25";"1";"91";"91339";"1";"9";"1";"2";"RN 104";"48,6252100000";"2,2626200000"
"202200000133";"21";"10";"2022";"05:30";"3";"91";"91064";"1";"1";"3";"7";"RN 118";"48,7503500000";"2,2215700000"
"202200000134";"20";"10";"2022";"23:53";"3";"91";"91064";"1";"1";"2";"7";"RN 118";"48,7670300000";"2,2299400000"
"202200000135";"21";"10";"2022";"07:50";"5";"78";"78124";"1";"1";"2";"1";"SE A14";"48,9127540000";"2,1725530000"
"202200000136";"21";"10";"2022";"17:15";"1";"93";"93007";"1";"1";"1";"2";"AUTOROUTE A1";"48,9477454931";"2,4439196803"
"202200000137";"21";"10";"2022";"08:50";"1";"93";"93010";"1";"1";"2";"2";"AUTOROUTE A3";"48,9037100000";"2,4712500000"
"202200000138";"21";"10";"2022";"13:00";"1";"94";"94069";"1";"1";"1";"6";"A4";"48,8175715400";"2,4363184350"
"202200000139";"21";"10";"2022";"05:10";"3";"94";"94028";"1";"1";"2";"6";"RN406.W";"48,7760253175";"2,4435371724"
"202200000140";"15";"07";"2022";"03:26";"5";"92";"92044";"2";"2";"1";"3";"ANA.FRANCE(RUE)77A139 ET 74A124";"48,8922288352";"2,2849167287"
"202200000141";"20";"10";"2022";"21:10";"5";"75";"75116";"2";"4";"2";"3";"PORTE D AUTEUIL";"48,8508680000";"2,2518930000"
"202200000142";"20";"10";"2022";"19:47";"5";"75";"75116";"2";"1";"3";"5";"PORTE MAILLOT";"48,8763230000";"2,2785250000"
"202200000143";"20";"10";"2022";"19:10";"5";"75";"75117";"2";"1";"3";"2";"PORTE DE CHAMPERRET";"48,8852770000";"2,2871230000"
"202200000144";"20";"10";"2022";"07:20";"2";"75";"75116";"2";"1";"2";"5";"PORTE DAUPHINE";"48,8698870000";"2,2715100000"
"202200000145";"19";"10";"2022";"15:20";"1";"75";"75114";"2";"1";"1";"4";"PORTE DE CHATILLON";"48,8217520000";"2,3179320000"
"202200000146";"20";"10";"2022";"18:30";"5";"75";"75106";"2";"4";"3";"3";"BOULEVARD DU MONTPARNASSE";"48,8450970000";"2,3201020000"
"202200000147";"20";"10";"2022";"12:00";"1";"75";"75105";"2";"3";"1";"3";"BOULEVARD DE PORT ROYAL";"48,8395520000";"2,3372710000"
"202200000148";"20";"10";"2022";"20:15";"5";"75";"75118";"2";"3";"2";"6";"RUE ORDENER";"48,8908920000";"2,3532080000"
"202200000149";"20";"10";"2022";"19:30";"5";"75";"75117";"2";"4";"2";"6";"AVENUE DE VILLIERS";"48,8817740000";"2,3143470000"
"202200000150";"20";"10";"2022";"18:13";"1";"75";"75116";"2";"7";"1";"7";"PLACE VICTOR HUGO";"48,8697880000";"2,2856150000"
"202200000151";"20";"10";"2022";"08:25";"1";"75";"75116";"2";"2";"1";"4";"ROUTE DE SURESNES";"48,8663180000";"2,2315670000"
"202200000152";"20";"10";"2022";"08:18";"2";"75";"75115";"2";"1";"2";"7";"AVENUE DU MAINE";"48,8406100000";"2,3214980000"
"202200000153";"20";"10";"2022";"06:43";"2";"75";"75115";"2";"3";"2";"6";"BOULEVARD DE VAUGIRARD";"48,8418010000";"2,3190500000"
"202200000154";"20";"10";"2022";"11:50";"1";"75";"75114";"2";"3";"1";"6";"RUE D ALESIA";"48,8278460000";"2,3289100000"
"202200000155";"20";"10";"2022";"18:15";"5";"75";"75113";"2";"1";"1";"6";"AVENUE DE CHOISY";"48,8209490000";"2,3640280000"
"202200000156";"17";"10";"2022";"10:16";"1";"75";"75112";"2";"1";"2";"3";"BOULEVARD DE BERCY";"48,8395040000";"2,3848970000"
"202200000157";"20";"10";"2022";"19:20";"5";"75";"75111";"2";"1";"3";"6";"RUE RICHARD LENOIR";"48,8549840000";"2,3821120000"
"202200000158";"9";"08";"2022";"12:28";"1";"65";"65286";"2";"4";"1";"2";"VIZENS (AVENUE DE)";"43,1061020000";" -0,0633830000"
"202200000159";"9";"08";"2022";"21:20";"2";"64";"64260";"2";"1";"1";"3";"Rue des cèdres";"43,3681070000";" -1,7657540000"
"202200000160";"8";"08";"2022";"22:15";"5";"64";"64445";"2";"6";"1";"3";"rond point eric tabarly";"43,3185100000";" -0,3603000000"
"202200000161";"24";"06";"2022";"10:25";"2";"62";"62510";"2";"1";"1";"7";"Rue Germain Delebecque";"50,4264390000";"2,7750820000"
"202200000162";"9";"08";"2022";"13:45";"1";"59";"59386";"2";"2";"1";"3";"LILLE RUE DE";"50,6658500000";"3,0640600000"
"202200000163";"12";"07";"2022";"07:40";"1";"59";"59350";"2";"2";"1";"3";"DELESPAUL, Barthélémy, rue";"50,6242500000";"3,0612700000"
"202200000164";"7";"08";"2022";"04:23";"5";"49";"49007";"2";"1";"1";"7";"POISSONNERIE";"47,4731200000";" -0,5563700000"
"202200000165";"9";"08";"2022";"09:27";"1";"45";"45234";"2";"3";"1";"3";"5 Rue Georges Pompidou";"47,8868310000";"1,9032070000"
"202200000166";"9";"08";"2022";"07:40";"1";"45";"45302";"2";"6";"1";"3";"75 Rue des Sables de Sary";"47,9473500000";"1,8652800000"
"202200000167";"19";"06";"2022";"21:10";"2";"42";"42218";"2";"3";"1";"1";"Rue du Guizay";"45,4129200000";"4,3963100000"
"202200000168";"9";"08";"2022";"10:45";"1";"38";"38185";"2";"1";"1";"6";"Boulevard Joseph Vallier";"45,1802300000";"5,7115700000"
"202200000169";"9";"08";"2022";"03:47";"3";"37";"37214";"2";"1";"1";"6";"LOIRE (QUAI DE LA)";"47,3969983917";"0,6635409594"
"202200000170";"8";"08";"2022";"17:35";"1";"34";"34301";"2";"1";"1";"6";"Promenade Jean-Baptiste Marty";"43,3958000000";"3,6951300000"
"202200000171";"9";"08";"2022";"05:10";"5";"33";"33119";"2";"1";"1";"6";"Cours de Verdun";"44,8485100000";" -0,5373400000"
"202200000172";"9";"08";"2022";"19:10";"1";"33";"33009";"2";"1";"7";"3";"GOSLAR (QUAI DE)";"44,6619000000";" -1,1491000000"
"202200000173";"9";"08";"2022";"09:28";"1";"32";"32013";"1";"1";"1";"2";"TOULOUSE (ROUTE DE)";"43,6537800000";"0,6119490000"
"202200000174";"9";"08";"2022";"16:45";"1";"31";"31555";"1";"1";"1";"3";"38 LE CHAPITRE (A64)";"43,5631600000";"1,4180500000"
"202200000175";"8";"08";"2022";"18:20";"1";"27";"27229";"2";"3";"1";"3";"BOTTOLIER (RUE)";"49,0149600000";"1,1603900000"
"202200000176";"8";"08";"2022";"15:10";"1";"17";"17300";"2";"1";"1";"3";"CORDELIERS  AVENUE DES";"46,1660000000";" -1,1418400000"
"202200000177";"9";"08";"2022";"20:45";"2";"13";"13117";"2";"1";"1";"3";"PADOVANI ( AVE )";"43,4333300000";"5,2625200000"
"202200000178";"9";"08";"2022";"05:45";"3";"13";"13054";"2";"3";"1";"3";"LACANAU (AV DE )";"43,4074800000";"5,2273800000"
"202200000179";"9";"08";"2022";"14:20";"1";"13";"13201";"2";"3";"1";"1";"BELSUNCE (COURS)";"43,2979900000";"5,3768000000"
"202200000180";"9";"08";"2022";"10:00";"1";"13";"13206";"2";"3";"1";"3";"BRETEUIL (RUE)";"43,2899500000";"5,3759200000"
"202200000181";"9";"08";"2022";"18:45";"1";"12";"12100";"2";"1";"1";"2";"Rue Jean Moulin";"44,5352000000";"2,3185700000"
"202200000182";"9";"08";"2022";"01:25";"3";"11";"11069";"1";"1";"1";"6";"N/A";"43,1911100000";"2,3318100000"
"202200000183";"9";"08";"2022";"17:55";"1";"75";"75113";"2";"1";"1";"2";"QUAI D IVRY";"48,8264910000";"2,3891460000"
"202200000184";"9";"08";"2022";"02:30";"5";"75";"75120";"2";"2";"1";"3";"RUE DES PYRENEES";"48,8591630000";"2,4021270000"
"202200000185";"8";"08";"2022";"22:00";"5";"75";"75120";"2";"4";"1";"3";"RUE BELGRAND";"48,8646200000";"2,4058370000"
"202200000186";"9";"08";"2022";"11:20";"1";"75";"75116";"2";"4";"1";"6";"AVENUE THEOPHILE GAUTIER";"48,8511780000";"2,2751510000"
"202200000187";"8";"08";"2022";"12:46";"1";"75";"75112";"2";"2";"1";"3";"BOULEVARD DIDEROT";"48,8473450000";"2,3867860000"
"202200000188";"9";"08";"2022";"10:57";"1";"75";"75110";"2";"4";"1";"6";"RUE LA FAYETTE";"48,8815931130";"2,3657324910"
